"id","source","arrivalTime","departureTime","serviceTime","priority"
0,0,1,1.5,0.5,0
5,1,1,2,0.5,2
6,1,2,2.5,0.5,0
1,0,2,3,0.5,2
2,0,3,3.5,0.5,0
7,1,4,4.5,0.5,0
3,0,4,5,0.5,2
4,0,5,5.5,0.5,2
