"id","source","arrivalTime","departureTime","serviceTime","priority"
10,2,1,1.5,0.5,2
11,2,2,2.5,0.5,2
0,0,2,3,0.5,0
12,2,3,5,0.5,2
2,0,3.5,4,0.5,0
13,2,4,4.5,0.5,0
1,0,3,5,0.5,2
14,2,5,6,0.5,2
3,0,5,6,0.5,2
4,0,6,6.5,0.5,2
