"id","source","arrivalTime","departureTime","serviceTime","priority"
10,2,1,1.5,0.5,2
11,2,2,2.5,0.5,2
12,2,3,5,0.5,2
13,2,4,4.5,0.5,0
14,2,5,6,0.5,2
