"id","source","arrivalTime","departureTime","serviceTime","priority"
10,2,0.25,0.75,0.5,2
12,2,0.75,1.75,0.5,2
14,2,1.25,2.75,0.5,2
13,2,1,2.25,0.5,2
11,2,0.5,1.25,0.5,2
0,0,3,6,3,2
3,0,6,9,3,2
4,0,11,14,3,2
2,0,18,21,3,2
1,0,23,26,3,2
